species_id,species_note,taxa,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation
acabah,bahianus,Acanthurus bahianus,159578,http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578,Acanthurus bahianus,"Castelnau, 1855",accepted,NA,220,Species,159578,Acanthurus bahianus,"Castelnau, 1855",125908,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-04-28"
acachi,chirurgus,Acanthurus chirurgus,159580,http://www.marinespecies.org/aphia.php?p=taxdetails&id=159580,Acanthurus chirurgus,"(Bloch, 1787)",accepted,NA,220,Species,159580,Acanthurus chirurgus,"(Bloch, 1787)",125908,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus chirurgus (Bloch, 1787). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159580 on 2021-04-28"
acacoe,coeruleus,Acanthurus coeruleus,159581,http://www.marinespecies.org/aphia.php?p=taxdetails&id=159581,Acanthurus coeruleus,"Bloch & Schneider, 1801",accepted,NA,220,Species,159581,Acanthurus coeruleus,"Bloch & Schneider, 1801",125908,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus coeruleus Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159581 on 2021-04-28"
acLIb,sp.,Acanthurus,125908,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125908,Acanthurus,"Forsskål, 1775",accepted,NA,180,Genus,125908,Acanthurus,"Forsskål, 1775",125515,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus Forsskål, 1775. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125908 on 2021-04-28"
acLIa,brevirostris,Naso brevirostris,219671,http://www.marinespecies.org/aphia.php?p=taxdetails&id=219671,Naso brevirostris,"(Cuvier, 1829)",accepted,NA,220,Species,219671,Naso brevirostris,"(Cuvier, 1829)",205230,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Naso brevirostris (Cuvier, 1829). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=219671 on 2021-04-28"
acHunkown,NA,Acanthuridae,125515,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125515,Acanthuridae,"Bonaparte, 1835",accepted,NA,140,Family,125515,Acanthuridae,"Bonaparte, 1835",151745,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,NA,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthuridae Bonaparte, 1835. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125515 on 2021-04-28"
anHsp2,NA,Antennariidae,125484,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125484,Antennariidae,"Jarocki, 1822",accepted,NA,140,Family,125484,Antennariidae,"Jarocki, 1822",10316,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,NA,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Antennariidae Jarocki, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125484 on 2021-04-28"
anHsp1,NA,Antennariidae,125484,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125484,Antennariidae,"Jarocki, 1822",accepted,NA,140,Family,125484,Antennariidae,"Jarocki, 1822",10316,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,NA,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Antennariidae Jarocki, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125484 on 2021-04-28"
apacya,cyanosoma,Apogon cyanosoma,209309,http://www.marinespecies.org/aphia.php?p=taxdetails&id=209309,Apogon cyanosoma,"Bleeker, 1853",unaccepted,NA,220,Species,319876,Ostorhinchus cyanosoma,"(Bleeker, 1853)",125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Apogon cyanosoma Bleeker, 1853. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=209309 on 2021-04-28"
apatri,trimaculatus,Apogon trimaculatus,273109,http://www.marinespecies.org/aphia.php?p=taxdetails&id=273109,Apogon trimaculatus,"Cuvier, 1828",unaccepted,NA,220,Species,712699,Pristicon trimaculatus,"(Cuvier, 1828)",125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Apogon trimaculatus Cuvier, 1828. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=273109 on 2021-04-28"
apacom,compressus,Apogon compressus,272999,http://www.marinespecies.org/aphia.php?p=taxdetails&id=272999,Apogon compressus,"(Smith & Radcliffe, 1911)",unaccepted,NA,220,Species,712653,Ostorhinchus compressus,"(Smith & Radcliffe, 1911)",125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Apogon compressus (Smith & Radcliffe, 1911). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=272999 on 2021-04-28"
apLIe,hoeveni,Apogon hoeveni,401480,http://www.marinespecies.org/aphia.php?p=taxdetails&id=401480,Apogon hoeveni,"Bleeker, 1854",unaccepted,misspelling,220,Species,712662,Ostorhinchus hoevenii,"(Bleeker, 1854)",125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Apogon hoeveni Bleeker, 1854. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=401480 on 2021-04-28"
apamac,maculatus,Apogon maculatus,159589,http://www.marinespecies.org/aphia.php?p=taxdetails&id=159589,Apogon maculatus,"(Poey, 1860)",accepted,NA,220,Species,159589,Apogon maculatus,"(Poey, 1860)",125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Apogon maculatus (Poey, 1860). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159589 on 2021-04-28"
apapla,planifrons,Apogon planifrons,273072,http://www.marinespecies.org/aphia.php?p=taxdetails&id=273072,Apogon planifrons,"Longley & Hildebrand, 1940",accepted,NA,220,Species,273072,Apogon planifrons,"Longley & Hildebrand, 1940",125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Apogon planifrons Longley & Hildebrand, 1940. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=273072 on 2021-04-28"
